Date,Open,High,Low,Close,Adj Close,Volume
2022-10-26,165.990005,173.755005,165.990005,170.960007,170.960007,224300
2022-10-27,165.339996,170.240005,160.490005,166.990005,166.990005,202000
2022-10-28,159.070007,167.270004,157.690002,166.119995,166.119995,155400
2022-10-31,166.279999,171.279999,163.639999,168.889999,168.889999,200500
2022-11-01,175.860001,176.940002,168.175003,169.429993,169.429993,203500
2022-11-02,177.990005,183.449997,171.000000,178.429993,178.429993,306600
2022-11-03,179.259995,185.660004,174.509995,185.110001,185.110001,176300
2022-11-04,188.000000,189.389999,180.000000,185.429993,185.429993,229800
2022-11-07,187.410004,199.600006,187.410004,192.779999,192.779999,266600
2022-11-08,190.460007,190.500000,183.270004,189.130005,189.130005,205300
2022-11-09,184.210007,190.000000,174.850006,176.229996,176.229996,258200
2022-11-10,186.110001,195.970001,183.339996,188.800003,188.800003,185200
2022-11-11,195.000000,200.960007,190.649994,197.949997,197.949997,269100
2022-11-14,203.990005,207.539993,200.119995,202.979996,202.979996,210000
2022-11-15,210.000000,210.509995,203.169998,207.710007,207.710007,280200
2022-11-16,207.789993,208.940002,204.630005,205.770004,205.770004,171200
2022-11-17,201.169998,205.949997,198.850006,200.570007,200.570007,248100
2022-11-18,198.020004,204.100006,196.509995,203.130005,203.130005,115300
2022-11-21,198.520004,202.645004,193.580002,194.649994,194.649994,142300
2022-11-22,191.179993,192.455002,175.610001,176.539993,176.539993,278200
2022-11-23,177.720001,183.000000,175.500000,181.789993,181.789993,222800
2022-11-25,177.080002,179.000000,171.929993,174.970001,174.970001,136700
2022-11-28,178.800003,183.059998,176.550003,179.289993,179.289993,222100
2022-11-29,184.119995,184.419998,176.324005,179.860001,179.860001,181800
2022-11-30,192.100006,202.899994,187.949997,191.610001,191.610001,1231200
2022-12-01,190.470001,197.839996,188.320007,194.570007,194.570007,284800
2022-12-02,193.160004,207.179993,193.160004,201.860001,201.860001,325100
2022-12-05,205.789993,206.820007,183.839996,188.710007,188.710007,318100
2022-12-06,186.229996,191.615005,179.220001,187.580002,187.580002,238100
2022-12-07,182.639999,194.580002,180.880005,193.380005,193.380005,480000
2022-12-08,200.160004,204.860001,197.550003,200.779999,200.779999,252500
2022-12-09,204.089996,207.860001,196.925003,197.000000,197.000000,312800
2022-12-12,202.759995,205.414993,198.220001,204.300003,204.300003,246700
2022-12-13,210.000000,212.990005,201.779999,208.070007,208.070007,254100
2022-12-14,204.029999,213.589996,204.029999,209.240005,209.240005,201200
2022-12-15,207.610001,210.929993,205.449997,207.919998,207.919998,167200
2022-12-16,204.830002,207.824997,200.850006,205.000000,205.000000,245800
2022-12-19,201.000000,202.979996,194.330002,201.089996,201.089996,208100
2022-12-20,197.119995,210.759995,196.919998,208.649994,208.649994,592600
2022-12-21,208.089996,216.240005,204.720001,216.240005,216.240005,199400
2022-12-22,215.880005,229.440002,213.535004,229.300003,229.300003,493700
2022-12-23,230.000000,232.615005,219.529999,226.070007,226.070007,428700
2022-12-27,221.429993,225.095001,220.479996,223.550003,223.550003,146800
2022-12-28,223.800003,225.960007,215.960007,219.360001,219.360001,135700
2022-12-29,221.710007,226.175003,218.524994,223.809998,223.809998,172600
2022-12-30,219.309998,227.229996,217.990005,219.940002,219.940002,148400
2023-01-03,230.259995,231.839996,221.330002,226.630005,226.630005,191800
2023-01-04,236.190002,243.070007,233.429993,242.899994,242.899994,282700
2023-01-05,238.860001,246.380005,238.860001,243.309998,243.309998,161600
2023-01-06,242.000000,246.716003,239.009995,245.220001,245.220001,220000
2023-01-09,249.000000,250.619995,245.119995,245.949997,245.949997,345600
2023-01-10,249.020004,251.460007,246.460007,250.080002,250.080002,178100
2023-01-11,256.989990,256.989990,248.889999,254.369995,254.369995,255300
2023-01-12,257.000000,263.970001,249.820007,263.230011,263.230011,221800
2023-01-13,269.000000,279.119995,267.450012,270.660004,270.660004,412800
2023-01-17,270.000000,272.010010,265.279999,267.679993,267.679993,358700
2023-01-18,272.160004,272.160004,259.750000,265.000000,265.000000,364300
2023-01-19,271.829987,275.980011,268.720001,274.500000,274.500000,385300
2023-01-20,280.000000,280.619995,263.459991,266.420013,266.420013,272200
2023-01-23,263.940002,269.890015,263.450012,269.000000,269.000000,173600
2023-01-24,266.010010,273.640015,266.001007,266.750000,266.750000,202900
2023-01-25,267.390015,267.390015,259.549988,263.500000,263.500000,316000
2023-01-26,264.070007,264.744995,258.800995,261.630005,261.630005,323600
2023-01-27,262.989990,264.869995,258.084991,259.799988,259.799988,231900
2023-01-30,253.520004,260.000000,253.520004,256.149994,256.149994,242800
2023-01-31,254.250000,257.200012,252.419998,256.000000,256.000000,174800
2023-02-01,258.730011,260.000000,248.520004,254.279999,254.279999,346600
2023-02-02,256.700012,257.769989,250.779999,255.050003,255.050003,276100
2023-02-03,252.770004,257.720001,251.940002,256.899994,256.899994,346500
2023-02-06,248.710007,249.979996,242.520996,245.179993,245.179993,274000
2023-02-07,250.440002,252.029999,245.679993,249.119995,249.119995,166900
2023-02-08,251.720001,252.500000,248.000000,249.960007,249.960007,359400
2023-02-09,250.300003,252.839996,246.395004,248.850006,248.850006,177300
2023-02-10,243.940002,246.789993,241.490005,244.479996,244.479996,148300
2023-02-13,247.410004,250.699997,244.675003,245.089996,245.089996,269500
2023-02-14,242.520004,244.649994,238.110001,241.470001,241.470001,138500
2023-02-15,235.270004,238.759995,234.190002,238.750000,238.750000,256900
2023-02-16,234.000000,238.399994,233.630005,235.360001,235.360001,121900
2023-02-17,231.429993,234.522995,230.309998,232.059998,232.059998,123900
2023-02-21,229.000000,231.970001,226.020004,229.009995,229.009995,170700
2023-02-22,228.690002,230.850006,226.324997,227.089996,227.089996,194300
2023-02-23,227.779999,228.210007,220.279999,223.259995,223.259995,173100
2023-02-24,223.259995,224.509995,214.389999,215.589996,215.589996,252100
2023-02-27,209.509995,220.255005,208.850998,216.029999,216.029999,224800
2023-02-28,219.179993,226.779999,218.039993,224.630005,224.630005,314900
2023-03-01,233.800003,240.949997,229.389999,235.880005,235.880005,351800
2023-03-02,233.000000,241.190002,230.544998,240.315002,240.315002,184700
2023-03-03,237.949997,243.330002,235.070007,241.330002,241.330002,170700
2023-03-06,241.199997,241.199997,236.679993,238.639999,238.639999,170900
2023-03-07,237.289993,239.690002,231.399994,231.509995,231.509995,135800
2023-03-08,226.789993,228.610001,222.679993,227.690002,227.690002,258200
2023-03-09,222.649994,224.979996,217.639999,217.990005,217.990005,143600
2023-03-10,220.000000,221.710007,213.729996,216.240005,216.240005,200200
2023-03-13,216.000000,226.460007,214.009995,222.229996,222.229996,196200
2023-03-14,237.000000,238.970001,230.320007,231.320007,231.320007,358000
2023-03-15,240.229996,241.000000,232.559998,235.949997,235.949997,520900
2023-03-16,229.580002,229.580002,216.020004,224.770004,224.770004,304000
2023-03-17,224.000000,225.149002,220.000000,223.320007,223.320007,300500
2023-03-20,220.300003,223.190002,215.860001,223.050003,223.050003,179500
2023-03-21,225.860001,226.740005,221.919998,225.850006,225.850006,109600
2023-03-22,222.149994,222.149994,215.649994,215.649994,215.649994,89000
2023-03-23,221.240005,224.044998,217.509995,219.020004,219.020004,65700
2023-03-24,219.429993,220.009995,216.779999,219.710007,219.710007,160900
2023-03-27,219.330002,224.789993,219.000000,224.779999,224.779999,181100
2023-03-28,221.960007,226.119995,218.899994,219.960007,219.960007,177400
2023-03-29,222.929993,223.759995,220.699997,221.750000,221.750000,147500
2023-03-30,221.850006,223.149994,215.809998,218.199997,218.199997,171300
2023-03-31,217.000000,219.720001,215.070007,215.529999,215.529999,263100
2023-04-03,215.529999,218.119995,210.315002,212.880005,212.880005,252000
2023-04-04,214.410004,215.929993,211.899994,215.000000,215.000000,235300
2023-04-05,213.919998,215.970001,210.800003,212.000000,212.000000,102300
2023-04-06,218.490005,242.440002,218.259995,238.449997,238.449997,617700
2023-04-10,234.139999,240.919998,233.903000,235.000000,235.000000,176500
2023-04-11,244.990005,256.140015,244.005005,251.960007,251.960007,290000
2023-04-12,254.809998,258.100006,250.399994,254.880005,254.880005,163000
2023-04-13,263.100006,272.489990,262.179993,265.739990,265.739990,252600
2023-04-14,267.670013,269.250000,262.100006,264.000000,264.000000,152600
2023-04-17,265.209991,268.410004,263.670013,264.799988,264.799988,180200
2023-04-18,266.989990,270.570007,264.869995,266.779999,266.779999,183000
2023-04-19,260.390015,263.260010,254.470001,258.500000,258.500000,181200
2023-04-20,255.800003,258.290009,254.199997,258.250000,258.250000,167200
2023-04-21,255.910004,259.010010,252.619995,258.450012,258.450012,97600
2023-04-24,257.000000,258.869995,255.050003,257.390015,257.390015,106700
2023-04-25,251.119995,253.279999,246.339996,246.779999,246.779999,210600
2023-04-26,245.009995,248.309998,243.690002,246.039993,246.039993,163800
2023-04-27,248.570007,255.960007,248.220001,255.490005,255.490005,249800
2023-04-28,250.720001,256.029999,250.720001,254.960007,254.960007,228600
2023-05-01,254.660004,260.250000,253.300003,259.980011,259.980011,183200
2023-05-02,259.980011,263.785004,259.049988,263.450012,263.450012,251200
2023-05-03,262.359985,266.665009,261.040009,265.000000,265.000000,191200
2023-05-04,257.230011,263.149994,251.360001,260.609985,260.609985,294000
2023-05-05,244.500000,257.720001,244.500000,249.789993,249.789993,243800
2023-05-08,254.119995,256.450012,251.490005,253.919998,253.919998,147100
2023-05-09,246.020004,247.494995,241.759995,245.679993,245.679993,167000
2023-05-10,244.500000,246.824997,242.009995,245.130005,245.130005,161400
2023-05-11,243.729996,245.630005,239.240005,244.600006,244.600006,85600
2023-05-12,240.330002,242.669998,237.490005,238.369995,238.369995,168900
2023-05-15,238.380005,241.330002,235.949997,240.250000,240.250000,115200
2023-05-16,244.119995,244.929993,238.660004,238.899994,238.899994,132100
2023-05-17,231.990005,234.345001,226.630005,231.000000,231.000000,211200
2023-05-18,228.320007,230.100006,225.270004,228.720001,228.720001,169400
2023-05-19,230.800003,234.000000,228.639999,232.600006,232.600006,90800
2023-05-22,235.520004,245.740005,235.520004,242.059998,242.059998,165000
2023-05-23,241.839996,244.554993,238.539993,239.330002,239.330002,130100
2023-05-24,236.429993,240.380005,235.449997,236.500000,236.500000,87700
2023-05-25,235.399994,235.399994,224.660004,227.729996,227.729996,108800
2023-05-26,230.990005,238.479996,228.160004,236.899994,236.899994,205500
2023-05-30,237.259995,241.500000,224.695007,228.270004,228.270004,209500
2023-05-31,225.679993,226.104996,213.820007,220.929993,220.929993,280000
2023-06-01,220.919998,227.250000,220.054993,223.479996,223.479996,116400
2023-06-02,224.470001,227.660004,222.600006,227.360001,227.360001,122400
2023-06-05,220.600006,225.449997,217.570007,221.839996,221.839996,146800
2023-06-06,212.520004,229.565994,212.339996,226.139999,226.139999,274400
2023-06-07,222.009995,226.580002,221.339996,224.389999,224.389999,122700
2023-06-08,219.330002,219.559998,215.779999,217.059998,217.059998,266700
2023-06-09,216.929993,219.289993,215.029999,216.039993,216.039993,157100
2023-06-12,217.979996,218.350006,211.455002,213.199997,213.199997,269200
2023-06-13,212.729996,213.729996,209.979996,212.190002,212.190002,237100
2023-06-14,210.229996,213.619995,205.169998,208.119995,208.119995,332400
2023-06-15,193.509995,208.494995,191.145004,201.039993,201.039993,477500
2023-06-16,199.380005,202.539993,194.080002,200.210007,200.210007,550000
